Tiktoker,influencer name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
codsterss,codsterss,58K,58000,13M,13000000,951.6K,951600,13.2K,13200,136K,136000
com.yamato0515,【コムドット】やまと,1.8M,1800000,2.3M,2300000,213.7K,213700,2.8K,2800,1.5K,1500
com.yamato0515,【コムドット】やまと,1.8M,1800000,2.3M,2300000,213.7K,213700,2.8K,2800,1.5K,1500
com.yuta0305,【コムドット】ゆうた,1.2M,1200000,2.2M,2200000,226.7K,226700,2.4K,2400,1.9K,1900
com.yuta0305,【コムドット】ゆうた,1.2M,1200000,2.2M,2200000,226.7K,226700,2.4K,2400,1.9K,1900
conangray,conangray,5.7M,5700000,1.4M,1400000,363.2K,363200,3.7K,3700,1.8K,1800
coopernoriega,Cooper Noriega,2.9M,2900000,4.2M,4200000,287K,287000,2.5K,2500,1.6K,1600
creationsross,RossCreations,2.4M,2400000,3.2M,3200000,402.1K,402100,1.2K,1200,4.3K,4300
creative_explained,Armen Adamjan,4.5M,4500000,1.9M,1900000,184.9K,184900,836,836,7.8K,7800
criminalksa,كريمنال🦊,1.1M,1100000,3M,3000000,223.6K,223600,1.2K,1200,859,859
cris_soto.09,CRIS SOTO MTA,361.4K,361400,2.3M,2300000,126.5K,126500,340,340,5.2K,5200
crisp.ink,𝐑𝐚𝐜𝐡𝐚𝐞𝐥,620.6K,620600,2.2M,2200000,536.9K,536900,4.1K,4100,10.6K,10600
cristobalsoria,Cristóbal Soria,701K,701000,3M,3000000,392.8K,392800,6.6K,6600,14.5K,14500
cuongkido,Cường kido,1.5M,1500000,3.6M,3600000,221.9K,221900,869,869,704,704
cvillaloboss,Carmen Villalobos,13M,13000000,6M,6000000,500.6K,500600,2.9K,2900,927,927
cznburak,cznburak,59.5M,59500000,4.3M,4300000,288.9K,288900,1.6K,1600,927,927
daffaxml,YouTube : Daffa AL,864.5K,864500,1.9M,1900000,190.3K,190300,2.8K,2800,1.3K,1300
dafnnejm,dafnne ☻,2.1M,2100000,1.6M,1600000,354.7K,354700,688,688,761,761
dal9_5,Dalé .,102.6K,102600,1.8M,1800000,204.2K,204200,4.3K,4300,10.9K,10900
daniel.labelle,Daniel LaBelle,26.2M,26200000,5.5M,5500000,777K,777000,2.6K,2600,3.4K,3400
danivallem,Dani Valle,4.5M,4500000,1.4M,1400000,108.4K,108400,764,764,16.1K,16100
dannapaola,Danna Paola,16.3M,16300000,4.5M,4500000,554.1K,554100,1.6K,1600,778,778
danphto,D A N P H T O,448K,448000,2.3M,2300000,206.9K,206900,2K,2000,382,382
danythegaggio,Daniele Cabras,3M,3000000,2.2M,2200000,300.2K,300200,2.5K,2500,12.1K,12100
daotthungan,Đào TThu Ngân,1M,1000000,3.1M,3100000,229.7K,229700,985,985,301,301
daraarafah24,daraarafah,786.4K,786400,3.3M,3300000,429.8K,429800,5.8K,5800,2.7K,2700
darianrojasc,D A R I A NR O J A S,30.4M,30400000,8.1M,8100000,1M,1000000,3.9K,3900,1.2K,1200
dasigantung,Dasi Gantung,5.6M,5600000,2.7M,2700000,426.2K,426200,1.2K,1200,918,918
datdo0803,Đỗ Đạt,6.9M,6900000,5.8M,5800000,592.4K,592400,2.2K,2200,696,696
datvilla94,🔥Đạt Villa🔥,7.1M,7100000,4.5M,4500000,490.8K,490800,8.3K,8300,4.6K,4600
daveardito,Dave Ardito,8.8M,8800000,3.9M,3900000,330.6K,330600,2.6K,2600,1K,1000
daviddobrik,DAVID DOBRIK,26M,26000000,5M,5000000,854.6K,854600,2.1K,2100,2.6K,2600
davidgalvanv,David Galván,4.8M,4800000,2.1M,2100000,291.8K,291800,2K,2000,548,548
davidsiwonchoi,최시원 • Siwon Choi,2.5M,2500000,1.9M,1900000,309.7K,309700,2.2K,2200,1.8K,1800
davidyrodriguez,That French Guy,8M,8000000,1.4M,1400000,256.6K,256600,1K,1000,1.7K,1700
deborahyowa,Deborah yowa,14.5M,14500000,6.9M,6900000,351.4K,351400,6.5K,6500,2.7K,2700
deiveleonardooficial,Deive Leonardo,5.8M,5800000,1.8M,1800000,194.8K,194800,1.9K,1900,39.7K,39700
delaneysayshello,Delaney Rowe,1M,1000000,1.3M,1300000,224.6K,224600,1.3K,1300,2.9K,2900
dennnyn,DENII,3.4M,3400000,1.1M,1100000,148K,148000,959,959,6.7K,6700
deon.k.washington,Deon👑,112.8K,112800,717.2K,717200,125.3K,125300,1.4K,1400,7.7K,7700
dereklipp_,Derek Lipp,4.9M,4900000,2.5M,2500000,348.2K,348200,1K,1000,4.4K,4400
devincaherly,Devin Caherly,7.9M,7900000,2.7M,2700000,279K,279000,1K,1000,119,119
devon_palmer,devon palmer,1.9M,1900000,2.1M,2100000,432.5K,432500,1K,1000,1.7K,1700
dexter.the.tabby,dexter.the.tabby,159.2K,159200,4.7M,4700000,1M,1000000,12.4K,12400,13.1K,13100
dhanihehee,BSK・Ｄｈａｎ１ᵀᵒᴾ,1.4M,1400000,1.8M,1800000,138.3K,138300,4.3K,4300,661,661
diefebri19,Febriana,686.7K,686700,1.7M,1700000,227.2K,227200,1.8K,1800,293,293
diegodiego_,Diego Cruz,7.8M,7800000,3.3M,3300000,496.8K,496800,2.5K,2500,2.1K,2100
