S.no,Tiktoker name,Tiktok name,Subscribers,Subscribers,Views avg.,Views avg.,Likes avg.,Likes avg.,Comments avg.,Comments avg.,Shares avg.,Shares avg.
978,rbplaying,RB playing,4.9M,4900000,1.4M,1400000,100.2K,100200,675,675,3.6K,3600
979,manutd,Manchester United,17.1M,17100000,1.6M,1600000,188.7K,188700,1.5K,1500,519,519
980,amika0429.14,あみか🦄✨@フォーエイト,1.2M,1200000,1.3M,1300000,96.8K,96800,3.2K,3200,1.5K,1500
981,chikn.nuggit,Chikn Nuggit,4.7M,4700000,948.5K,948500,146.9K,146900,3.2K,3200,1.1K,1100
982,aidanmrz,Aidan Mirza,1.1M,1100000,2.5M,2500000,157.8K,157800,991,991,512,512
983,shehabeldin100,Shehabeldin,6.9M,6900000,1.4M,1400000,141K,141000,1.6K,1600,1.4K,1400
984,mrchiquitolina,Nicolino,269.2K,269200,805.2K,805200,163.6K,163600,487,487,4K,4000
985,nacha_acashore,Michelson,1.2M,1200000,2.2M,2200000,231.3K,231300,434,434,743,743
986,melanypalacioss,Melany🥀,5.2M,5200000,1.6M,1600000,352.5K,352500,909,909,137,137
987,fortcraft354,Fortcraft354,189.2K,189200,1.4M,1400000,156.8K,156800,2.6K,2600,70,70
988,davidspade,DavidSpade,4.5M,4500000,1.1M,1100000,158.6K,158600,1.5K,1500,1.8K,1800
989,monika.kociolek,Monika Kociołek,2.8M,2800000,1.1M,1100000,170.4K,170400,2.5K,2500,614,614
990,yayisrenteria,Yayis Renteria,339.9K,339900,1.9M,1900000,133.6K,133600,382,382,1.9K,1900
991,fabirommel,Fabi Rommel,409.7K,409700,1M,1000000,105.8K,105800,573,573,4.9K,4900
992,juanito_pochi,JUANITO🔥🚶,827.2K,827200,2.1M,2100000,191.3K,191300,671,671,781,781
993,brandonspam_,Brandon Conner,8.5M,8500000,1.5M,1500000,236.5K,236500,1.4K,1400,220,220
994,macy.blackwell,macy.blackwell,1.2M,1200000,1.1M,1100000,104.4K,104400,382,382,4.7K,4700
995,calebrownn,Cale Brown,5.5M,5500000,834.6K,834600,148.2K,148200,1.9K,1900,2.8K,2800
996,brendadialoy,Brenda Dialoy,371.9K,371900,1.2M,1200000,187.5K,187500,626,626,2K,2000
997,jujufitcats,Juju Fitcats,4.3M,4300000,2.2M,2200000,280.8K,280800,380,380,558,558
998,xoteam,XO Team,37.8M,37800000,2.5M,2500000,180.2K,180200,859,859,450,450
999,kimsnwuo,️️,100.9K,100900,957.4K,957400,226.8K,226800,908,908,1.7K,1700
1000,jass_mcg,jass_mcg,52.2K,52200,503.8K,503800,116K,116000,8.1K,8100,1.8K,1800
