S.no,Tiktoker name,Tiktok name,Subscribers,Subscribers,Views avg.,Views avg.,Likes avg.,Likes avg.,Comments avg.,Comments avg.,Shares avg.,Shares avg.
201,fedevigevani,Fede Vigevani,14.6M,14600000,4M,4000000,457.2K,457200,2.7K,2700,1.1K,1100
202,korectiion,Iam Cleo,390.5K,390500,3M,3000000,376.8K,376800,4.3K,4300,1.7K,1700
203,theovon,Theo Von,2.7M,2700000,3.1M,3100000,320.8K,320800,1.1K,1100,5.6K,5600
204,dafnnejm,dafnne ☻,3.8M,3800000,3.7M,3700000,667.9K,667900,1.4K,1400,1.3K,1300
205,boomershroomer,Ashley Enders,63.8K,63800,4.1M,4100000,286.4K,286400,2.4K,2400,3.2K,3200
206,abir.sag,Abir el saghir,14.7M,14700000,4.3M,4300000,302.8K,302800,2.8K,2800,2.3K,2300
207,iamprisleeciyi,Priscilla ◡̈,13.9K,13900,2.3M,2300000,522.9K,522900,1.2K,1200,4.2K,4200
208,mikaylahau,Mikaylah,4.9M,4900000,3.6M,3600000,313.5K,313500,4.6K,4600,1.1K,1100
209,ranboolive,Ranboo,4.3M,4300000,1.8M,1800000,414.8K,414800,7K,7000,1.6K,1600
210,fadiljaidi,Fadil Jaidi,8.7M,8700000,3.5M,3500000,390.7K,390700,2.9K,2900,1.8K,1800
211,diiegospyckerzs,Diiego Spyckerzs,808.5K,808500,2.8M,2800000,154.5K,154500,3K,3000,11.8K,11800
212,sonyakisa8,Cat Sonya,17.4M,17400000,3.5M,3500000,287.7K,287700,1K,1000,5.3K,5300
213,dbl_n,DBL N officiel 👑🔥🇹🇳,2.2M,2200000,3.6M,3600000,392.9K,392900,2.4K,2400,2.1K,2100
214,gavincasalegno,GavinCasalegno,3.2M,3200000,2.2M,2200000,394.7K,394700,5.3K,5300,1.9K,1900
215,gordeewa__13,gordeewa__13 :>,12.7M,12700000,5.4M,5400000,293.7K,293700,3.2K,3200,722,722
216,guide_smis,ไกค์ 'สมิท,275.7K,275700,13.1M,13100000,299.2K,299200,435,435,1.2K,1200
217,lucasmonteirosg,Lucas Monteiro,486.9K,486900,3.8M,3800000,469.4K,469400,1.8K,1800,1.7K,1700
218,dasigantung,Dasi Gantung,5.9M,5900000,4.6M,4600000,648.5K,648500,842,842,1.3K,1300
219,vanessalopesr,Vanessa Lopes,25.2M,25200000,3.4M,3400000,327.8K,327800,3.6K,3600,1.9K,1900
220,alexitoxedits,ALEX <3,2.9M,2900000,1.6M,1600000,467.1K,467100,3.9K,3900,4.4K,4400
221,bretmanrock,bretmanrock,14.4M,14400000,2.9M,2900000,599.9K,599900,2K,2000,1.4K,1400
222,brodywellmaker,Brody Wellmaker,21.6M,21600000,3M,3000000,430.3K,430300,3.6K,3600,1K,1000
223,jamescharles,James Charles,36.9M,36900000,4.2M,4200000,356.4K,356400,2.9K,2900,1.1K,1100
224,pablitocastilloo,pablitocastilloo,5.8M,5800000,2M,2000000,234.7K,234700,1.8K,1800,10.8K,10800
225,jindaouis,Louisa Jindaoui,2M,2000000,3.4M,3400000,492.2K,492200,1.6K,1600,1.9K,1900
226,readyfredi,fredi pärs,3.2M,3200000,1.6M,1600000,364K,364000,3.8K,3800,6.6K,6600
227,ive.official,IVE.official,3M,3000000,2.4M,2400000,355.6K,355600,4.1K,4100,2.7K,2700
228,hannahbahng,hannahbahng,2.4M,2400000,1.7M,1700000,479.4K,479400,5.8K,5800,1.3K,1300
229,realnikocadoavocado,Nikocado Avocado,1.7M,1700000,3.4M,3400000,131K,131000,6.9K,6900,6K,6000
230,_andrewcurtiss,Andrew Curtis,2.8M,2800000,2M,2000000,341.9K,341900,5.5K,5500,2.9K,2900
231,datvilla94,🔥Đạt Villa🔥,6.9M,6900000,2.7M,2700000,192K,192000,8.6K,8600,2.6K,2600
