Rank,Tiktoker name,Tiktok name,followers,views(avg),views(avg),likes(avg.),likes(avg.),comments(avg.),comments(avg.),shares(avg.),shares(avg.)
153,jaxwritessongs,Jax,12.9M,3.3M,3300000,433.4K,433400,4.6K,4600,876,876
154,luismariz,Luis Mariz,12.7M,7M,7000000,555.6K,555600,648,648,1.4K,1400
155,pablitocastilloo,pablitocastilloo,6.4M,2.7M,2700000,269.1K,269100,1.7K,1700,9.1K,9100
156,jvke,JVKE,9.9M,2.7M,2700000,517.8K,517800,2.8K,2800,2.7K,2700
157,jombospice,JOMBOSPICE,9.8M,5.6M,5600000,648.9K,648900,1.6K,1600,554,554
158,julieevlorentzen,julie,4.2M,4.8M,4800000,634.8K,634800,2K,2000,547,547
159,adamw,Adam W,17.7M,4.1M,4100000,322K,322000,2K,2000,3.8K,3800
160,garett__nolan,Garett Nolan,13.4M,2.7M,2700000,351.3K,351300,2.9K,2900,5.2K,5200
161,ayesebastien,Sebastien,8.1M,2.8M,2800000,550.5K,550500,1.9K,1900,3K,3000
162,la_lerma,LERMITA,13.4M,3M,3000000,567.4K,567400,2.1K,2100,2.2K,2200
163,soysuco,Soysuco,14M,3.7M,3700000,373.9K,373900,4.7K,4700,652,652
164,lyodrabeneran,Lyodra Ginting,2.5M,4.3M,4300000,558.1K,558100,1.9K,1900,1.2K,1200
165,pietro_morello,Pietro Morello,3.1M,6.6M,6600000,464.4K,464400,1.5K,1500,889,889
166,_andrewcurtiss,Andrew Curtis,2.9M,2M,2000000,408.8K,408800,5.8K,5800,3.1K,3100
167,good.boy.ollie,Good Boy Ollie,5.2M,2.2M,2200000,398.1K,398100,2.6K,2600,5.5K,5500
168,shxtsngigs,ShxtsNGigs Podcast,5.9M,2.6M,2600000,467.2K,467200,1.1K,1100,4.6K,4600
169,addisonre,Addison,88.7M,5.3M,5300000,304.9K,304900,2.4K,2400,2K,2000
170,chriscoquyt,Chris Coquyt,136.2K,2.4M,2400000,353.8K,353800,3.6K,3600,4.6K,4600
171,hisoyvaleria,valeria 🖤,9.9M,3.9M,3900000,454.1K,454100,1.6K,1600,2.3K,2300
172,joaoferdnan,João Ferdnan,8.8M,2.3M,2300000,274.6K,274600,4.1K,4100,6.9K,6900
173,graciajessicajane,Jessica Jane🌙,11.6M,4.9M,4900000,510.4K,510400,1.9K,1900,806,806
174,sabrenorris,Sabre Norris,3.8M,3.1M,3100000,321.1K,321100,6.3K,6300,584,584
175,official_nct,NCT Official,9.2M,2.3M,2300000,572.5K,572500,3.3K,3300,1.9K,1900
176,ustazebitlew,Ebit Lew,4.6M,2.7M,2700000,213.1K,213100,6K,6000,5.6K,5600
177,sromero29,Samuel29,599.1K,1.7M,1700000,112.9K,112900,887,887,34.4K,34400
178,augustogimenez,AugustoGimenez,15M,5.3M,5300000,653.5K,653500,1.3K,1300,528,528
179,grannybibbins,Granny,944.8K,1.5M,1500000,162.2K,162200,1.7K,1700,24.6K,24600
180,jairsanchezzz,Jair Sanchez,8M,2.1M,2100000,349.8K,349800,2K,2000,6.7K,6700
181,k0uvr,Kouvr,14M,4.3M,4300000,616.5K,616500,954,954,1.4K,1400
182,katjakrasavice,KatjaKrasavice,2.8M,1.9M,1900000,255.5K,255500,11.4K,11400,1.4K,1400
183,janneksplace,Janneksplace,2M,2.7M,2700000,334.2K,334200,5.4K,5400,1.6K,1600
184,allanpendong4,Allan Pendong,130.2K,3.5M,3500000,245.3K,245300,4.1K,4100,3K,3000
185,aureliehermansyahatta,Aurelie Hermansyah,9.8M,5.8M,5800000,351.5K,351500,1.9K,1900,1K,1000
