Tiktoker name,Tiktok name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
noreportar08,noreportar08,265.3K,265300,4M,4000000,104.9K,104900,11.1K,11100,12.9K,12900
elrodcontreras,ROD🥴,40.1M,40100000,3.3M,3300000,521K,521000,4.8K,4800,1K,1000
kpp2179393999,きゃりーぱみゅぱみゅの裏垢,834.9K,834900,6.5M,6500000,345.5K,345500,1.3K,1300,3.2K,3200
elgato,Rodrigo EL GATO,3.2M,3200000,3.3M,3300000,454K,454000,4K,4000,2.7K,2700
carolfermichh,CarolFerMichh,6.2M,6200000,4.3M,4300000,664.8K,664800,2.4K,2400,1.1K,1100
montpantoja,Montpantoja,32.3M,32300000,3.5M,3500000,652.5K,652500,3.2K,3200,1.2K,1200
mmmjoemele,Joe Mele,21M,21000000,4.3M,4300000,608.4K,608400,2.2K,2200,1.5K,1500
1xgoku,goku,74.8K,74800,1.9M,1900000,345.6K,345600,2.5K,2500,12.2K,12200
anthonnyswagg3,anthonnyswagg,8.5M,8500000,8.1M,8100000,469.6K,469600,1.7K,1700,797,797
bjjojo_,j🐞j🦋fan,61.6K,61600,2M,2000000,354.5K,354500,6.2K,6200,7.3K,7300
uberkuloz,Berk Keklik,1M,1000000,5.2M,5200000,394.7K,394700,2.1K,2100,2.5K,2500
nilskue,Nils Kuesel,9.5M,9500000,2.6M,2600000,515.4K,515400,5.2K,5200,1.8K,1800
mcsilsiloficial,@mcsilsiloficial,5.8M,5800000,2.6M,2600000,201.7K,201700,4.7K,4700,13.7K,13700
labrinth,Labrinth,924.9K,924900,4.2M,4200000,416.9K,416900,3.4K,3400,1.9K,1900
oilywhitehat,🔌,197.3K,197300,5.5M,5500000,373.5K,373500,3.1K,3100,1.4K,1400
jacksepticeye,Jacksepticeye,4.2M,4200000,2.9M,2900000,512.7K,512700,4.3K,4300,1.9K,1900
marisol.viola,marisol viola,1.1M,1100000,2.6M,2600000,504.8K,504800,4.1K,4100,3.1K,3100
strangehumano,strangehumman NOVA,7.8M,7800000,3.2M,3200000,386.3K,386300,4.5K,4500,3K,3000
playboyjuju,🕷,259.4K,259400,3.3M,3300000,291.2K,291200,5.5K,5500,4.2K,4200
itsjessibaby,Jessi,5M,5000000,3.1M,3100000,738.5K,738500,3.2K,3200,835,835
bbykevv_,Kevin Nguyen,1.6M,1600000,3.2M,3200000,633.1K,633100,2.1K,2100,2.4K,2400
nykolasteles,Nykolas Teles,3.8M,3800000,2.7M,2700000,368.8K,368800,5.8K,5800,3.4K,3400
morimura,MoriMura🍕,6.4M,6400000,2.2M,2200000,483K,483000,4.4K,4400,4.1K,4100
danisoomin,daniela kim,8.4M,8400000,3.4M,3400000,492.7K,492700,4.1K,4100,1.2K,1200
tenderlybaemusic,tenderlybae,14.4M,14400000,3.6M,3600000,409.5K,409500,4.6K,4600,1.5K,1500
ig_alongwiranda,🕌🏃,880.7K,880700,3.2M,3200000,129.4K,129400,1.2K,1200,20K,20000
crisdevilgamer7,CrisDevilGamer,4.5M,4500000,3.5M,3500000,388.1K,388100,5.2K,5200,1.2K,1200
meishmoe,meishmoe,3.9M,3900000,2.5M,2500000,534.5K,534500,2.4K,2400,4.1K,4100
maylathanzin,Maylathanzin,1.9M,1900000,3.5M,3500000,417.6K,417600,1.2K,1200,4.7K,4700
zuuzina,👽,1.2M,1200000,2.7M,2700000,342.4K,342400,4.2K,4200,5.1K,5100
jennifergarner,Jen Garner,2.1M,2100000,3.4M,3400000,315K,315000,5.6K,5600,2.4K,2400
seventeen17_official,SEVENTEEN,3.9M,3900000,1.5M,1500000,375.9K,375900,11.1K,11100,4.1K,4100
meosimmyyt,Mèo Simmy,3.9M,3900000,2.7M,2700000,367.1K,367100,7.1K,7100,1.5K,1500
mariabecerra_22,Maria Becerra,6.1M,6100000,3.2M,3200000,553.9K,553900,3.6K,3600,1.2K,1200
frostech,FROSTECH,321K,321000,3.4M,3400000,411K,411000,1.5K,1500,4.6K,4600
p0_2,مشاري بن عبدالعزيز  -,1.7M,1700000,4.9M,4900000,233.7K,233700,6K,6000,1.5K,1500
joelbergs,JoelBergs,11.2M,11200000,3.4M,3400000,636.3K,636300,1.7K,1700,2.2K,2200
euro2024,EURO2024,6.8M,6800000,2.5M,2500000,407.3K,407300,2.9K,2900,5.4K,5400
daz_black,daz_black,7M,7000000,2.3M,2300000,506.4K,506400,4.3K,4300,2.9K,2900
claragnds,Maria Clara Garcia,16M,16000000,2.8M,2800000,401.5K,401500,5.2K,5200,2.1K,2100
desartdestro,desartdestro,7.8M,7800000,5.4M,5400000,368.3K,368300,2K,2000,2.1K,2100
